"","sample_id","experiment","conc_level","conc","conc_unit","time_level","exposure_type","time","time_unit","acta2_log2fc","acta2_fc","acta2_pvalue","acta2_padj","col1a1_log2fc","col1a1_fc","col1a1_pvalue","col1a1_padj","Single_cell_necrosis","Necrosis","Necrosis_fibrinoid","Fibrosis"
"23","tg_rliver_repeat_acarbose_t7_c1","acarbose",1,100,"mg/kg",7,"repeat",15,"day",-0.082,0.944747041,0.662930964,0.985475126,0.065,1.04608494,0.740342232,0.985475126,NA,NA,NA,NA
"24","tg_rliver_repeat_acarbose_t7_c2","acarbose",2,300,"mg/kg",7,"repeat",15,"day",0.111,1.07997656,0.578797692,0.968823133,0.278,1.212512819,0.215431665,0.91079023,NA,NA,NA,NA
"25","tg_rliver_repeat_acarbose_t7_c3","acarbose",3,1000,"mg/kg",7,"repeat",15,"day",-0.134,0.911301281,0.479787602,0.912803164,0.06,1.042465761,0.786882607,0.972791762,NA,NA,NA,NA
"26","tg_rliver_repeat_acarbose_t8_c1","acarbose",1,100,"mg/kg",8,"repeat",29,"day",0.005,1.003471749,0.968692748,0.994977321,0.157,1.114966219,0.331672525,0.862459174,NA,NA,NA,NA
"27","tg_rliver_repeat_acarbose_t8_c2","acarbose",2,300,"mg/kg",8,"repeat",29,"day",0.077,1.054822317,0.71669136,0.999308712,0.315,1.244011653,0.017055333,0.999308712,NA,NA,NA,NA
"28","tg_rliver_repeat_acarbose_t8_c3","acarbose",3,1000,"mg/kg",8,"repeat",29,"day",0.02,1.01395948,0.891270318,0.998092699,0.308,1.237990291,0.067835706,0.976943453,NA,NA,NA,NA
"29","tg_rliver_repeat_acetamide_t5_c1","acetamide",1,300,"mg/kg",5,"repeat",4,"day",0.128,1.092777739,0.232083649,0.946544789,-0.023,0.984184022,0.830452493,0.990237245,NA,NA,NA,NA
"30","tg_rliver_repeat_acetamide_t5_c2","acetamide",2,1000,"mg/kg",5,"repeat",4,"day",0.163,1.119612889,0.343135439,0.863353052,-0.279,0.824162085,0.139195363,0.828442479,"yes","no","no","no"
"31","tg_rliver_repeat_acetamide_t5_c3","acetamide",3,2000,"mg/kg",5,"repeat",4,"day",-0.033,0.977385766,0.893250621,0.973473907,-0.186,0.879039561,0.316552211,0.745307455,"yes","no","no","no"
"32","tg_rliver_repeat_acetamide_t6_c1","acetamide",1,300,"mg/kg",6,"repeat",8,"day",0.125,1.090507733,0.281308751,0.99992495,-0.238,0.847919965,0.09268548,0.99992495,NA,NA,NA,NA
"33","tg_rliver_repeat_acetamide_t6_c2","acetamide",2,1000,"mg/kg",6,"repeat",8,"day",0.064,1.0453601,0.558207549,0.969562611,-0.276,0.825877665,0.053569841,0.949732279,NA,NA,NA,NA
"34","tg_rliver_repeat_acetamide_t6_c3","acetamide",3,2000,"mg/kg",6,"repeat",8,"day",0.122,1.088242442,0.359298603,0.777782045,-0.51,0.702222438,0.005887572,0.326297549,"yes","no","no","no"
"35","tg_rliver_repeat_acetamide_t7_c1","acetamide",1,300,"mg/kg",7,"repeat",15,"day",0.118,1.085229372,0.481770947,0.99337664,-0.064,0.956608158,0.581249736,0.99337664,NA,NA,NA,NA
"36","tg_rliver_repeat_acetamide_t7_c2","acetamide",2,1000,"mg/kg",7,"repeat",15,"day",0.277,1.21167266,0.044209888,0.482396696,0.16,1.117287138,0.386221302,0.805767101,NA,NA,NA,NA
"37","tg_rliver_repeat_acetamide_t7_c3","acetamide",3,2000,"mg/kg",7,"repeat",15,"day",0.355,1.278985581,0.248747895,0.556081048,-0.116,0.922742493,0.340146324,0.621342276,"yes","no","no","no"
"38","tg_rliver_repeat_acetamide_t8_c1","acetamide",1,300,"mg/kg",8,"repeat",29,"day",0.037,1.025978145,0.59376052,0.988757535,-0.265,0.832198735,0.08022227,0.972713498,NA,NA,NA,NA
"39","tg_rliver_repeat_acetamide_t8_c2","acetamide",2,1000,"mg/kg",8,"repeat",29,"day",0.132,1.095811766,0.160332185,0.942626503,-0.154,0.898755127,0.403662031,0.957336017,"yes","no","no","no"
"40","tg_rliver_repeat_acetamide_t8_c3","acetamide",3,2000,"mg/kg",8,"repeat",29,"day",0.313,1.242288282,0.002395133,0.214326359,-0.305,0.809442217,0.056931582,0.483326564,"yes","no","no","no"
"41","tg_rliver_repeat_acetamidofluorene_t5_c1","acetamidofluorene",1,30,"mg/kg",5,"repeat",4,"day",0.008,1.00556058,0.94017884,0.983307659,0.238,1.179356592,0.012661826,0.158659971,NA,NA,NA,NA
"42","tg_rliver_repeat_acetamidofluorene_t5_c2","acetamidofluorene",2,100,"mg/kg",5,"repeat",4,"day",-0.307,0.808320869,0.023539107,0.15333984,-0.234,0.85027416,0.010739878,0.100817421,NA,NA,NA,NA
